A British officer
A Californian
A. L. O. E.
Aaberg, J. C.
Comer, Cornelia A. P.
Comfield, Amelia Stratton
Comfort, Benjamin F.
Comfort, Will Levington
Cominelli, A.
Comins, Elizabeth B.
Comminges, Aimery de, comte de
Committee on Railway Mail Pay
Commons, John R.
Commune de Amiens/Nancy
Comparetti, Domenico
Compayré, Gabriel
Compton, D. A.
Compton, Paul
Compton-Rickett, Arthur
Comstock, Daniel Webster
Comstock, George C.
Comstock, Harriet T.
Comte, Auguste
Comyn, Tomás de
Conan, Laure
Conant, Abraham
Conant, Charles A.
Conant, Franklin Story
Conant, Henry Reed
Conant, J. E.
Conant, Levi L.
Conant, Roger William
Conant, Thomas
Conaway, Horace Mann
Concannon, Thomas, Mrs.
Conder, C. R.
Condorcet, Jean-Antoine-Nicolas de Caritat, marquis de
Cone, Helen Gray
Cone, John A.
Conger, Emily Bronson
Conger, Henry Rutgers
Congreve, Henry
Congreve, William
Congreve, William, Sir
Conklin, Mary Greer
Conklin, Nathaniel, Mrs.
Conkling, Hilda
Conkling, Margaret C.
Conlon, Ben
Conn, H. W.
Connell, Richard Edward
Connellan, Thomas
Conner, E. Palmer
Conner, H. T.
Conner, Jacob Elon
Connington, J. J.
Connolly, A. P.
Connolly, James B.
Connolly, Richard
Connolly, T. W. J.
Connor, Elizabeth H.
Connor, Ralph
Connor, Selden
Connor, W. J.
Connors, Chuck
Conover, Mary Roberts
Conover, William
Conquest, Joan
Conrad, Jessie
Conrad, Joseph
Conrad, M. G.
Conscience, Hendrik
Consolation Club
Constable, Henry
Constable, W. G.
Constant, Barbara
Constant, Benjamin
Consumer and Food Economics Institute
Consumers' League of New York City
Contarini, Ambrogio
Conte, Rafael
Contor, Roger J.
Contreras, Rafael
Converse, Florence
Converse, Frank H.
Conway, Agnes Ethel
Conway, G. R. G.
Conway, Hugh
Conway, Moncure Daniel
Conway, William Martin, Sir
Conwell, Russell H.
Conybeare, F. C.
Conybeare, John William Edward
Conyers, Dorothea
Conz, Gustav
Cook, Albert John
Cook, Allan Wilson
Cook, Charles C.
Cook, Clarence
Cook, D. J.‏ ‎
Cook, Dutton
Cook, E. T.
Cook, Edward Tyas, Sir
Cook, Eliza
Cook, Emily Constance Baird
Cook, Ezra A.
Cook, Frederick Albert
Cook, Herbert Frederick
Cook, Howard W.
Cook, Irving B.
Cook, James
Cook, James, Lieutenant
Cook, Joel
Cook, John R.
Cook, Joseph
Cook, O. F.
Cook, Richard B.
Cook, Samuel
Cook, Sherburne Friend
Cook, Stanley Arthur
Cook, Theodore Andrea
Cook, William Wallace
Cooke, A. H.
Cooke, Arthur O.
Cooke, Conrad William
Cooke, Ebenezer
Cooke, Edmund Vance
Cooke, Flora J.
Cooke, George Willis
Cooke, Grace MacGowan
Cooke, James Francis
Cooke, John Esten
Cooke, John Henry, Sir
Cooke, Josiah P., Jr.
Cooke, M. C.
Cooke, Marjorie Benton
Cooke, Maud C.
Cooke, W. Bourne
Cooke, William
Cool, Catherina
Cool, Thomas
Coolbrith, Ina D.
Cooley, Anna M.
Cooley, Arnold James
Cooley, Charles Horton
Cooley, James Ewing
Cooley, M. S.
Coolidge, Asenath Carver
Coolidge, Calvin
Coolidge, Dane
Coolidge, Julian Lowell
Coolidge, Susan
Coombe, Florence
Coombs, Charles Ira
Coombs, Francis Lovell
Coombs, Norman
Coomes, Oll
Cooper, A.
Cooper, A. Heaton
Cooper, Anna J.
Cooper, Bryan
Cooper, Clayton Sedgwick
Cooper, Courtney Ryley
Cooper, David R.
Cooper, Elizabeth
Cooper, Francis L.
Cooper, Frederic Taber
Cooper, Grace Rogers
Cooper, Henry St. John
Cooper, James A.
Cooper, James Fenimore
Cooper, James, of Philadelphia
Cooper, John Gilbert
Cooper, Lane
Cooper, Marie Jane
Cooper, Michael D.
Cooper, Robert, secularist
Cooper, Susan Fenimore
Cooper, Thomas
Cooper, Thomas V.
Cooper, William
Cooper, William Barrett
Cooreman, Gerard
Coote, Rosa Belinda
Cope, E. D.
Cope, Henry Frederick
Cope, Thomas D.
Cope, William Henry
Copeland, Benjamin
Copeland, John Morison
Copeland, Vanness
Coppard, A. E.
Coppard, William Isaac
Coppel, Alfred
Coppens, Charles
Coppi, Antonio
Coppi, Ettore
Copping, Arthur E.
Coppinger, Joseph
Coppinger, R. W.
Coppinger, William
Copplestone, Bennet
Coppée, François
Coppée, Henry
Copus, J. E.
Coquerel, Athanase
Coquiot, Gustave
Corander, Gotthard
Corander, Klas
Corbet, Richard
Corbett, Edward
Corbett, George, Mrs.
Corbett, John M.
Corbett, Julian Stafford
Corbett, Thomas B.
Corbett-Smith, Arthur
Corbin, John
Corbin, Thomas W.
Corbière, Edouard
Corbière, Tristan
Corbould, Elvina Mary
Cord, Harry
Corday, Michel
Cordeaux, John
Cordeiro, Luciano
Cordeiro, Manoel Caldas
Core, Mary Kennedy
Corelli, Marie
Corfield, William Henry
Corkey, Alexander
Corkran, Alice
Corlette, Hubert C.
Corliss, William R.
Cormack, W. E.
Cornaro, Luigi
Corne, Hyacinthe
Corneille, Pierre
Cornelius, Elias
Cornelius, Mary Ann Mann
Cornelius, Mrs.
Cornell, Beaumont Sandfield
Cornell, Fred C.
Corner, Miss
Cornett, W. N.
Cornford, Frances Darwin
Cornford, L. Cope
Corning, Edward
Corning, Gardner
Corning, Mary Spring
Cornish, C. J.
Cornish, Vaughan
Cornwall, Barry
Cornwallis, Caroline Frances
Corominas, Pere
Corra, Bruno
Corra, Emile
Corradini, Enrico
Corroyer, Édouard
Corrozet, Gilles
Corry, Joseph
Corréard, Alexandre
Corrêa, António
Corrêa, José Augusto
Corson, Hiram
Corson, Juliet
Cortes, Fausta
Cortes-Rodrigues, Armando César
Corthis, André
Corvin, Otto von
Corvo, João de Andrade
Corvus, M.
Corwin, B. R.
Corwin, Edward Samuel
Cory, Charles B.
Cory, David
Cory, H. T.
Cory, John
Cory, William Johnson
Coryell, John Russell
Cosens, Abner
Cosgrove, J. J.
Cosquin, Emmanuel
Cossa, Pietro
Cossar, John D.
Cosson, E.
Costa Chaves E Mello, Francisco Affonso Da
Costa i Llobera, Miquel
Costa, Alexandre da
Costa, Enrico
Costa, Fernandes
Costa, Floriano Alves da
Costa, José Daniel Rodrigues da
Costa, José Soares da Cunha e
Costa, Manuel Cipriano da
Costain, Thomas B.
Costantini, Anna Miller
Coste, Albert
Costello, Edward
Costello, J. A.
Costello, Louisa Stuart
Costello, P. F.
Costelloe, Laurence
Coster, Charles de
Cotes, Everard
Cotman, John Sell
Cotteau, Edmond
Cotten, Sallie Southall
Cotter, Arundel
Cotter, Cornelius P.
Cotter, Frank J.
Cotter, John L.
Cotter, Joseph S.
Cotterell, John N.
Cotterill, H. B.
Cottin, Madame
Cottle, Joseph
Cotton, Catherine
Cotton, Edward
Cotton, Lizzie E., Mrs.
Cotton, William, F.S.A., of Exeter
Cottrell, Charles
Coubé, Stéphen
Couceiro, Luís
Couchman, Harriet
Coues, Elliott
Coulanges, Marie-Angélique Du Gué Bagnoles
Coulevain, Pierre de
Coulomb, Charles Augustin
Coulter, John Merle
Coulthard, H. R.
Coulton, G. G.
Coulton, Miss
Council of Women for Home Missions
Council of the Twelve Apostles
Council on Pharmacy and Chemistry
Councill, W. H.
Councilman, W. T.
Coungeau, E.‏
Counselman, Mary Elizabeth
Coup, W. C.
Couperus, Louis
Courlander, Alphonse
Coursey, O. W.
Courteline, Georges
Courtenay, Calista McCabe
Courtenay, John
Courthope, William John
Courtilz de Sandras, Gatien
Courtney, A. B.
Courtney, M. A.
Courtney, W. L.
Cousin, John W.
Cousin, Victor
Cousins, Frank
Cousins, James Henry
Coussens, Penrhyn Wingfield
Coutinho, Henrique Ernesto de Almeida
Couturat, Louis
Coué, Emile
Covel, John
Coventry. Public Libraries Committee
Coverdale, Henry Standish
Cowan, Frank
Cowan, James
Cowan, James Galloway
Cowan, John Pryor
Cowan, Sam K.
Cowan, Samuel
Coward, Noel
Coward, T. A.
Cowdin, Robert
Cowherd, Thomas
Cowles, Henry
Cowles, Julia Darrow
Cowley, Abraham
Cowley, Hannah
Cowley, Matthias F.
Cowling, Henry
Cowper, E. E.
Cowper, Frank
Cowper, William
Cox, Arthur Jean
Cox, David
Cox, Edward W.
Cox, F. A.
Cox, Florence Tinsley
Cox, George
Cox, George James
Cox, Harold
Cox, Irving E.
Cox, J. Charles
Cox, Jacob D.
Cox, James
Cox, James A.
Cox, John
Cox, Joseph Bradford
Cox, Kenyon
Cox, Leonard
Cox, Palmer
Cox, Samuel
Cox, Stephen Angus Douglas
Coxe, A. Cleveland
Coxe, William
Coxwell, Donald J.
Coxwell, Henry Tracey
Coybee, Eden
Coyne, J. Stirling
Coyne, James H.
Cozzens, Frederic S.
Cozzens, Samuel Woodworth
Craandijk, J.
Crabb, James
Crabbe, George
Crabtre, Addison Darre
Crackanthorpe, Hubert
Craddock, Charles Egbert
Craddock, Irving
Craft, Ellen
Craft, William
Crafton, William Bell
Craig, Austin
Craig, B. F.
Craig, Robert Alexander
Craigie, William A., Sir
Craigin, Harry
Craik, Dinah Maria Mulock
Craik, George L.
Craik, Georgiana M.
Craik, Henry, Sir
Crain, Dorothy
Craine, E. J.
Crake, A. D.
Crake, E. E.
Cram, Ralph Adams
Cramb, J. A.
Cramer, Ambrosio
Cramer, Andreas Wilhelm
Cramer, J. A.
Cramp, W. B.
Cramp, Walter S.
Crampton, Henry Edward
Cranch, Christopher Pearse
Crandall, Arthur George
Crandall, Lathan A.
Crandell, Dwight R.
Crane, Elliot H.
Crane, Frank
Crane, Harold S.
Crane, J. T.
Crane, Laura Dent
Crane, Leo
Crane, Nathalia
Crane, Oliver
Crane, Stephen
Crane, Thomas Frederick
Crane, Walter
Crane, William E.
Cranmer-Byng, L.
Cranston, Ruth
Crapo, Henry Howland
Crapsey, Adelaide
Crashaw, Richard
Crassier, L.-M.-G de
Crastre, François
Cravath, James Raley
Craven, C. Jackson
Craven, J. H.
Craven, Priscilla
Craven, Wesley Frank
Crawford, Albert Cornelius
Crawford, David Lindsay, Earl of
Crawford, F. Marion
Crawford, Isabella Valancy
Crawford, Jack Randall
Crawford, Mary Caroline
Crawford, Matthew
Crawford, Mattie
Crawfurd, Raymond Henry Payne, Sir
Creasy, Edward Shepherd, Sir
Creelman, James
Creer, Edwin
Creighton, Charles
Creighton, Katherine
Creighton, Louise
Creighton, M.
Crellin, H. N.
Cremer, Jacobus Jan
Crenne, Hélisenne de
Cresee, Franklin Allison
Crespo, Gonçalves
Cressey, E. K.
Cressman, Edmund Dresser
Cressman, Robert
Cresson, Benjamin Franklin
Cressy, Will M.
Creswell, John A. J.
Creswell, R. J.
Creswick, Paul
Creswicke, Louis
Crevaux, Jules
Crevel, René
Crewdson, Charles N.
Criado y Baca, Heliodoro
Crichton Somerville, D. M. M.
Crignelle, Henri de
Crile, George Washington
Crim, Matt, Miss
Cripps, Arthur Shearly
Crisp, Stephen
Crispi, Francesco
Critchfield, Ammon B.
Crittenden, S. H.
Croal, Thomas Allan
Croce, Benedetto
Crocheron, Augusta Joyce
Crocker, Betty
Crocker, Beulah Mary
Crocker, Marjorie
Crockett, Davy
Crockett, S. R.
Crockett, Sherman
Crockett, W. S.
Crofoot, Jay William
Croft, Delmer Eugene
Crofton, Helen Augusta
Crofts, Freeman Wills
Croghan, George
Croil, James
Croissant, De Witt Clinton
Croissant-Rust, Anna
Croker, B. M.
Croker, John Wilson
Croker, Thomas Crofton
Croll, James
Croly, George
Croly, Herbert David
Crombie, Alexander
Cromer Ladies' Bible Association
Cromer, Evelyn Baring, Earl of
Cromie, Robert
Crompton, Frances E.
Crompton, Richmal
Cromwell, Emma Guy
Cromwell, John Howard
Cromwell, John Wesley
Cronau, Rudolf
Cronise, Florence M.
Cronk, Katharine Scherer
Cronyn, George W.
Crooke, William
Crookes, William
Crooks, D. M.
Crosby Lockwood and Son
Crosby, Ernest
Crosby, Everett Uberto
Crosby, Frank
Crosby, Leander
Crosby, Thomas
Crosby, William O.
Crosland, Newton, Mrs.
Crosland, T. W. H.
Cross, C. F.
Cross, F. J.
Cross, Frank B.
Cross, H. Russell
Cross, Helen Reid
Cross, Jonathan
Cross, Joseph
Cross, R.
Cross, Victoria
Crosse, Andrew F.
Crossen, Kendell Foster
Crossland, Cyril
Crossley, Anthony Crommelin
Crossley, J.
Crosthwaite, C. H. T.
Croston, James
Crothers, Samuel McChord
Crouch, W. E.
Crow, Martha Foote
Crowe, Catherine
Crowe, William
Crowell, Benedict
Crowest, Frederick James
Crowley, Aleister
Crowley, Mary Catherine
Crownfield, Gertrude
Crowninshield, Frank
Crowninshield, Schuyler, Mrs.
Crowquill, Alfred
Crowther, Mary Owens
Crowther, Samuel
Croy, Henri de
Crozier, A. A.
Crozier, R. H.
Cruickshank, Alfred Hamilton
Cruikshank, Alfred Byron
Cruikshank, E. A.
Cruikshank, George
Cruikshank, Robert
Crum, Josie Moore
Crummell, Alexander
Crummer, Wilbur F.
Crump, Arthur
Crump, Irving
Crumpler, Rebecca Lee
Crumpton, H. J.
Crumpton, Washington Bryan
Crutchley, William Caius
Cruttwell, C. R. M. F.
Cruttwell, Charles Thomas
Cruttwell, Maud
Cruz, Hermenegildo
Crébillon, Claude-Prosper Jolyot de
Csiky, Gergely
Csáth, Géza
Cubberley, Ellwood Patterson
Cucuel, Edward
Cudahy, John
Cuddeback, William Louis
Cuffe, Paul
Culbertson, Ernest Howard
Culin, Stewart
Cull, John Augustine
Cullen, Clarence Louis
Cullen, Countee
Cullen, Joseph P.
Cullom, Shelby M.
Cullum, Ridgwell
Culpeper, Josephine
Culpeper, Nicholas
Culpin, Millais
Culverwell, Robert James
Cumberland, Barlow
Cumberland, Gerald
Cumberland, Richard
Cuming, E. D.
Cuming, Fortescue
Cumming, Charles Gordon
Cumming, John
Cumming, R. D.
Cummings, Abraham
Cummings, E. E.
Cummings, Lettie M.
Cummings, Mabel H.
Cummings, Monette
Cummings, Ray
Cummings, William Hayman
Cummins, Harle Oren
Cummins, Maria S.
Cummins, Mary Hornibrook
Cumont, Franz
Cundall, Frank
Cundall, H. M.
Cundall, Joseph
Cuneo, Gian Battista
Cunha, Elmano da
Cunha, J. G. de Barros e
Cunha, Xavier da
Cuniberti, Julia Lovejoy
Cuningham, John
Cunliffe-Owen, Marguerite
Cunningham, Allan
Cunningham, Charles D.
Cunningham, Charles Henry
Cunningham, Eugene
Cunningham, Francis
Cunningham, Francis A.
Cunningham, H. S., Sir
Cunningham, J. T.
Cunningham, John
Cunningham, W.
Cunninghame Graham, R. B.
Cunynghame, Henry H., Sir
Cuomo, Matteo
Cupples, George
Cupples, George, Mrs.
Curie, Marie
Curie, Pierre
Curl, Mervin James
Curling, H. Onslow
Curling, Henry
Curnick, Edward T.
Curon, L. O.
Currey, E. Hamilton
Currey, J. Seymour
Currie, Barton Wood
Currie, John Allister
Currier, Richard D.
Curry, Charles Madison
Curry, Frederic C.
Curry, J. L. M.
Curry, Mike
Curry, S. S.
Curti, Pier Ambrogio
Curties, Henry
Curtin, D. Thomas
Curtin, Jeremiah
Curtis Companies
Curtis, Alice Turner
Curtis, Betsy
Curtis, Charles A.
Curtis, Charles H.
Curtis, David A.
Curtis, Edward S.
Curtis, George Ticknor
Curtis, George William
Curtis, Georgina Pell
Curtis, Henry
Curtis, Herbert Pelham
Curtis, John Charles
Curtis, John Green
Curtis, Mary
Curtis, Robert
Curtis, T. D.
Curtis, Wardon Allan
Curtis, William
Curtis, William Eleroy
Curtiss, Glenn Hammond
Curtler, W. H. R.
Curtois, M. A.
Curwen, Henry
Curwen, J. Spencer
Curwood, James Oliver
Curzon, Robert
Curzon, Sarah Anne
Cusack, Mary Francis
Cushing, Caleb
Cushing, Charles Phelps
Cushing, Frank Hamilton
Cushing, Luther Stearns
Cushing, Max Pearson
Cushman, Allerton S.
Cushman, Herbert Ernest
Cushman, Robert
Cusick, David
Cussons, D.
Cust, Anna Maria Elizabeth
Cust, Robert H. Hobart
Custance, Olive
Custer, Elizabeth Bacon
Custer, George A.
Custine, Astolphe, marquis de
Custine, Delphine de Sabran, marquise de
Cutbush, James
Cuthell, Edith E.
Cutler, Frederick Morse
Cutler, James Elbert
Cutten, George Barton
Cutter, Calvin
Cutter, Charles A.
Cutter, O. P.
Cutting, Mary Stewart
Cuttriss, Frank
Cuttriss, G. P.
Cutts, Edward Lewes
Cuvier, Georges, baron
Cuvru-Magot, Henriette
Cuyer, Édouard
Cuyler, Theodore L.
Cygnaeus, Fredrik
Cyr, Ellen M.
Cyr, Narcisse
Cyrano de Bergerac
Czernin von und zu Chudenitz, Ottokar Theobald Otto Maria, Graf
Cánovas del Castillo, Antonio
Cárdenas y Echarte, Raúl de
Câmara, João da
Cândido, António
D'Abro, A.
D'Ambra, Lucio
D'Annunzio, Gabriele
D'Anvers, N.
D'Auvergne, Edmund B.
D'Awans, Robert
D'Este, Margaret
D'Oliveira, E.
D'Ooge, Benjamin L.
D'Urfey, Thomas
D. D. Cottrell's Subscription Agency
D. Van Nostrand Company
D., L. S.
Dabney, Robert Lewis
Dabney, Thomas Ewing
Dabney, Virginius
Dachauer, Sebastian
Dacier, André
Dack, Charles
Dacre, Charlotte
Dacus, J. A.
Dadd, George H.
Dafoe, John Wesley
Daggett, David
Daggett, Mabel Potter
Daggett, Mary Stewart
Daggett, Stuart
Dagron, Prudent René-Patrice
Daguerches, Henry
Daguerre, Louis Jacques Mandé
Dahl, Jonas Anton
Dahlberg, T. J.
Dahlgren, Fredrik August
Dahlinger, Charles W.
Dahlke, Paul
Dahn, Felix
Dai, Zhen
Daiber, Albert
Daingerfield, Foxhall
Dair, Spencer
Dake, Charles Romyn
Dakota Engineering Company, Mitchell, S.D.
Dale, Alan
Dale, Horace C.
Dale, J. B., Mrs.
Dale, Thomas Pelham
Daley, Donald F.
Daley, John Bernard
Dalgleish, Walter Scott
Dall'Ongaro, Francesco
Dall, Caroline Wells Healey
Dallam, Thomas
Dallas, Ellen M.
Dallas, Richard
Dallas, Robert Charles
Dalling and Bulwer, Henry Lytton Bulwer, Baron
Dallinger, W. H.
Dallmann, William
Dalquest, Walter Woelber
Dalrymple, Julia
Dalrymple, Leona
Dalton, Charles
Dalton, Cornelius Neale
Dalton, Frank Eugen
Dalton, Hugh Dalton, Baron
Dalton, J. W.
Dalton, John
Dalton, John Call
Dalton, Leonard V.
Dalton, Louis C.
Dalton, Moray
Dalton, O. M.
Dalton, William
Daly, Charles P.
Daly, George Thomas
Daly, J. Bowles
Daly, Loraine
Dalzell, George W.
Dalziel, D.
Dalziel, Edward
Dalziel, George
Dalziel, J. M.
Dame, Lorin Low
Dame, William Meade
Damer, Eyre
Dammer, Udo
Dampier, William
Damrosch, Walter
Damsté, Pieter Helbert
Dana, Charles A.
Dana, Homer J.
Dana, John Cotton
Dana, Marvin
Dana, Richard Henry
Dancel, J.-F.
Danckaerts, Jasper
Dandridge, Danske
Dandurand, Madame
Dandy, Jacky
Dane, Clemence
Dane, Edmund
Danger, T.-P.
Daniel, Edward Morton
Daniel, Florence
Daniel, George
Daniel, Hawthorne
Daniel, Lucius
Daniel, Mooshie G.
Daniel, Samuel
Daniels, Addie Worth Bagley
Daniels, Ara Marcus
Daniels, George W.
Daniels, Josephus
Daniels, Mabel W.
Daniels, Thomas
Danilevskii, G. P.
Danks, William
Dannemann, Friedrich
Dante Alighieri
Danton, George H.
Danton, Georges Jacques
Danzig, Allan
Danziger, Adolphe
Danöfen, Lydia
Daoust, Charles R.
Dard, Charlotte-Adelaïde
Dare, Carl
Dargan, Olive Tilford
Dargaud, Jean-Marie
Darien, Georges
Dark, Harris J.
Darling, Charles R.
Darling, Charles W.
Darling, Esther Birdsall
Darlington, Edgar B. P.
Darlington, Richard
Darlington, W. A.
Darnell, Elias
Darroch, Alexander
Darroch, G. R. S.
Darrow, Clarence
Dartnell, George Edward
Daru, Pierre-Antoine-Noël-Bruno, comte
Darvall, Joseph
Darwin, Bernard
Darwin, Charles
Darwin, Erasmus
Darwin, Florence Henrietta Fisher, Lady
Darwin, Francis, Sir
Darwin, George Howard, Sir
Daryl, Philippe
Daryush, Elizabeth Bridges
Darío, Rubén
Das, Chitta Ranjan
Das, Sarat Chandra
Das, Sukumar Ranjan
Dasgupta, Surendranath
Dastre, A.
Dau, W. H. T.
Daubney, William Heaford
Daudet, Alphonse
Daudet, Ernest
Daughters of the American Revolution. Nebraska
Daughters of the American Revolution. Oregon Society
Daughters of the American Revolution. Pittsburgh Chapter
Daum, P. A.
Daumas, E.‏
Dauncey, Campbell, Mrs.
Dauncey, H. M.
Daunou, P. C. F.
Daunt, Achilles
Dauthendey, Elisabeth
Dauthendey, Max
Dautremer, Joseph
Davenport, Benjamin Rush
Davenport, Charles Benedict
Davenport, Cyril
Davenport, Daniel
Davenport, Emma
Davenport, John
Davenport, R. A.
Davenport, Reuben Briggs
Davenport, Spencer
Davey, Richard
David, Charles W.
David, Evan John
David, L.-O.
David, William K.
Davidis, Henriette
Davids, Thaddeus
Davidson, Edith B.
Davidson, G. F.
Davidson, George
Davidson, Gladys
Davidson, Halsey
Davidson, Hannah Frances
Davidson, John
Davidson, Laura Lee
Davidson, Samuel
Davidson, Thomas
Davies, Ben
Davies, Charles Maurice
Davies, E. Tegla
Davies, Ebenezer
Davies, Emily
Davies, G. Christopher
Davies, John, Sir
Davies, Jonathan Ceredig
Davies, Linton
Davies, Mary Carolyn
Davies, R. Rice
Davies, Randall
Davies, Thomas, microscopist
Davies, W. H.
Davies, William Gabriel
Davies, William Watkin
Davies, William, Head-master of Carnarvon School
Daviess, Maria Thompson
Davillier, Ch., baron
Davis, Andrew McFarland
Davis, Anne Pence
Davis, Audrey B.
Davis, Calvin Olin
Davis, Chandler
Davis, Charles Edward
Davis, Charles G.
Davis, Charles H.
Davis, E. H.
Davis, Edward Ziegler
Davis, F. Hadland
Davis, Foxcroft
Davis, Franklyn Pierre
Davis, Frederick C.
Davis, George Moses
Davis, H. W. Carless
Davis, Haywood Leslie
Davis, Henry George
Davis, Isaac
Davis, J. Frank
Davis, James J.
Davis, Jefferson
Davis, John Francis
Davis, John Massie
Davis, Jonathan B.
Davis, Katherine Wallace
Davis, Leslie A.
Davis, M. E. M.
Davis, Mary Hayes
Davis, Means
Davis, Noah
Davis, Oscar K.
Davis, Owen
Davis, Rebecca Harding
Davis, Richard Harding
Davis, Tamar
Davis, Thomas
Davis, William Stearns
Davis, William T.
Davis, William, M.A.
Davison, Alvin
Davison, Charles
Davison, T. Raffles
Davitt, Michael
Davy, Humphry, Sir
Dawbarn, Charles
Dawe, C. S.
Dawidowsky, F.
Dawkins, C. T.
Dawkins, William Boyd
Dawson Scott, C. A.
Dawson, A. J.
Dawson, Bertrand Edward Dawson, Viscount
Dawson, Carley
Dawson, Coningsby
Dawson, Francis Warrington
Dawson, George Francis
Dawson, Henry
Dawson, John William, Sir
Dawson, Sarah Morgan
Dawson, Thomas Cleland
Dawson, W. F.
Dawson, W. J.
Dawson, William Harbutt
Dawson, William Leon
Dawson, Æneas MacDonell
Day, Clarence
Day, Clive
Day, Dee
Day, Edmund
Day, Holman
Day, Horace B.
Day, Kirkland Hart
Day, Lal Behari
Day, Lewis F.
Day, Mary L.
Day, Samuel Phillips
Day, Susanne R.
Day, Thomas
Day, Thomas Fleming
Day, William W.
Dayot, Armand
Dayrell, Elphinstone
Dazey, Charles Turner
De Amicis, Edmondo
De Becker, J. E.
De Benneville, James S.
De Berniere, Henry
De Blumenthal, Kalamatiano
De Carlo, Camillo
De Casseres, Benjamin
De Caston, Herbert
De Cleyre, Voltairine
De Courcy, Dorothy
De Courcy, John
De Courcy, Richard
De Fontaine, F. G.
De Ford, Miriam Allen
De Forest, John William
De Forest, Norman L.
De Gubernatis, Angelo
De Hurst, C.
De Koven, Anna
De La Coste, Edmond
De La Pasture, Henry, Mrs.
De La Vergne, George Harrison
De Lamater, John N.
De Lancey, Magdalene, Lady
De Laurence, L. W.
De Leon, T. C.
De Lisser, Herbert George
De Loach, R. J. H.
De Marchi, Emilio
De Maria, Alamanno
De Mille, James
De Morgan, Augustus
De Morgan, John
De Morgan, Mary
De Morgan, William
De Presno, Odd
De Quille, Dan
De Quincey, Thomas
De Roberto, Federico
De Salis, Mrs.
De Sanctis, Francesco
De Saussure, N. B.
De Selincourt, Basil
De Sélincourt, Hugh
De Teresa, Ysabel
De Vere, Aubrey
De Vet, Charles V.
De Vine, Alice L.
De Vinne, Theodore Low
De Voe, Carrie
De Wet, Christiaan Rudolf
De Wild, John H.
De Windt, Harry
De Wolfe, Elsie
De Zafra, Carlos
De Zoete, Beryl
De la Mare, Walter
De la Rey, Jacoba Elizabeth
De la Roche, Mazo
De los Reyes, Angel
De-Astis, Giuseppe
DeCelles, Alfred D.
DeCosta, B. F.
DeGuise, Charles
DeKy, Thornton
DeLane, Nelson H.
DeShields, James T.
DeWitt, David Miller
Deacon, James E.
Dealtry, William
Deam, Charles Clemon
Dean, Arthur D.
Dean, Graham M.
Dean, Henry
Dean, John
Dean, Lee Parker
Deane, David J.
Deane, Edmund
Deane, P. E.
Dearborn, Andrew
Dearborn, R. F.
Dearmer, Geoffrey
Dearmer, Percy
Dearness, John
Debans, Camille
Debay, A.
Debenham, Mary H.
Deberly, Henri
Debs, Eugene V.
Decatur, Stephen
Dechmann, Louis
Deckert, Emil
Decle, Lionel
Decorde, J.-E.
Decourcelle, Adrien
Dedekind, Richard
Dee, John
Deeping, Warwick
Deetz, James
Defauconpret, A.-J.-B.
Defoe, Daniel
Defrance, Jean Claude
Degré, Alajos
Dehan, Richard
Deharme, E.
Dehas, Camille
Dehio, Georg
Dehmel, Paula
Dehmel, Richard
Deich, L. G.
Deignan, H. G.
Deihl, Edna Groff
Deite, C.
Dejeans, Elizabeth
Dejob, Charles
Deken, Agatha
Dekker, Thomas
Del Lungo, Isidoro
Del Rey, Lester
Delaborde, Henri, comte
Delaborde, Jules, comte
Delacroix, Eugène
Delafield, E. M.
Delafield, Edward
Delafield, John
Delamotte, F.
Deland, Ellen Douglas
Deland, Margaret Wade Campbell
Delaney, Lucy A.
Delaney, Theresa
Delannoy, Burford
Delano de Lannoy, Mortimer
Delano, Edith Barnard
Delano, Jane A.
Delany, Martin Robison
Delany, Samuel R.
Delarue-Mardrus, Lucie
Delboeuf, Joseph-Remi-Leopold
Delco-Remy Corporation
Deledda, Grazia
Delepierre, Octave
Delgado, Rafael
Delille, Jacques
Dell, Ethel M.
Dell, Floyd
Della Casa, Giovanni
Dellenbaugh, Frederick Samuel
Delluc, Louis
Delorme Colaço, José Maria
Delorme, Amédée
Delorme, Marie
Deloume, Antonin
Delphian Society
Delpit, Albert
Delpit, Édouard
Delta, Penelope Stephanou
Delvau, Alfred
Delécluze, E. J.
Demetrakopoulos, Polyvios
Deming, Therese O.
Demolder, Eugène
Dempster, George
Demuth, Charles
Demuth, Geo. S.
Den, Lili
Dench, Ernest A.
Dendy, Walter Cooper
Deng, Xi
Denham, Dixon
Denham, John, Sir
Denham, Thomas D.
Denig, Edwin Thompson
Deniker, Joseph
Denikin, Anton Ivanovich
Denis, Hector
Denis, Pierre
Denison, George T.
Denison, Thomas S.
Dennert, Eberhard
Dennett, Mary Ware
Denney, James
Denning, William F.
Dennis, C. J.
Dennis, Geoffrey
Dennis, John
Denniss, Edwin Proctor
Dennistoun, James
Denny, Alfred
Denny, Emily Inez
Denon, Vivant
Denslow, W. W.
Dent, C. T.
Dent, Edward J.
Dent, John Charles
Denton, William
Dentz, Fredrik
Denver and Rio Grande Railroad Company
Denvir, John
Depew, Chauncey M.
Deplace, Guy-Marie
Der Ling, Princess
Dercksen, Jacobus Marinus Everhardus
Derennes, Charles
Derham, W.
Deri, Max
Derieux, Samuel A.
Derleth, August
Dermout, Jacob
